productId,name,description,manufactoring_date,expiry_date
104,Delta Device 104,Compact and efficient device,2025-06-08,2027-06-08
105,Epsilon Gear 105,Precision engineered gear,2025-06-13,2027-06-13
106,Zeta Component 106,Essential component for machines,2025-06-18,2027-06-18
107,Eta Module 107,Modular design for flexibility,2025-06-23,2027-06-23
108,Theta Part 108,High performance part,2025-06-28,2027-06-28
109,Iota Accessory 109,Accessory for multiple uses,2025-07-03,2027-07-03
110,Kappa Unit 110,Unit for industrial applications,2025-07-08,2027-07-08
111,Lambda Widget 111,Next-gen widget,2025-07-13,2027-07-13
112,Mu Gadget 112,Smart gadget for home,2025-07-18,2027-07-18
113,Nu Tool 113,Ergonomic tool,2025-07-23,2027-07-23
114,Xi Device 114,Energy efficient device,2025-07-28,2027-07-28
115,Omicron Gear 115,Heavy-duty gear,2025-08-02,2027-08-02
116,Pi Component 116,Component for electronics,2025-08-07,2027-08-07
117,Rho Module 117,Module for automation,2025-08-12,2027-08-12
118,Sigma Part 118,Precision part,2025-08-17,2027-08-17
119,Tau Accessory 119,Accessory for gadgets,2025-08-22,2027-08-22
120,Upsilon Unit 120,Unit for assembly lines,2025-08-27,2027-08-27
121,Alpha Widget 121,High quality widget,2025-09-01,2027-09-01
122,Beta Gadget 122,Advanced gadget for daily use,2025-09-06,2027-09-06
123,Gamma Tool 123,Durable tool for professionals,2025-09-11,2027-09-11
124,Delta Device 124,Compact and efficient device,2025-09-16,2027-09-16
125,Epsilon Gear 125,Precision engineered gear,2025-09-21,2027-09-21
126,Zeta Component 126,Essential component for machines,2025-09-26,2027-09-26
127,Eta Module 127,Modular design for flexibility,2025-10-01,2027-10-01
128,Theta Part 128,High performance part,2025-10-06,2027-10-06
129,Iota Accessory 129,Accessory for multiple uses,2025-10-11,2027-10-11
130,Kappa Unit 130,Unit for industrial applications,2025-10-16,2027-10-16
131,Lambda Widget 131,Next-gen widget,2025-10-21,2027-10-21
132,Mu Gadget 132,Smart gadget for home,2025-10-26,2027-10-26
133,Nu Tool 133,Ergonomic tool,2025-10-31,2027-10-31
134,Xi Device 134,Energy efficient device,2025-11-05,2027-11-05
135,Omicron Gear 135,Heavy-duty gear,2025-11-10,2027-11-10
136,Pi Component 136,Component for electronics,2025-11-15,2027-11-15
137,Rho Module 137,Module for automation,2025-11-20,2027-11-20
138,Sigma Part 138,Precision part,2025-11-25,2027-11-25
139,Tau Accessory 139,Accessory for gadgets,2025-11-30,2027-11-30
140,Upsilon Unit 140,Unit for assembly lines,2025-12-05,2027-12-05
141,Alpha Widget 141,High quality widget,2025-12-10,2027-12-10
142,Beta Gadget 142,Advanced gadget for daily use,2025-12-15,2027-12-15
143,Gamma Tool 143,Durable tool for professionals,2025-12-20,2027-12-20
144,Delta Device 144,Compact and efficient device,2025-12-25,2027-12-25
145,Epsilon Gear 145,Precision engineered gear,2025-12-30,2027-12-30
146,Zeta Component 146,Essential component for machines,2026-01-04,2028-01-04
147,Eta Module 147,Modular design for flexibility,2026-01-09,2028-01-09
148,Theta Part 148,High performance part,2026-01-14,2028-01-14
149,Iota Accessory 149,Accessory for multiple uses,2026-01-19,2028-01-19
150,Kappa Unit 150,Unit for industrial applications,2026-01-24,2028-01-24
151,Lambda Widget 151,Next-gen widget,2026-01-29,2028-01-29
152,Mu Gadget 152,Smart gadget for home,2026-02-03,2028-02-03
153,Nu Tool 153,Ergonomic tool,2026-02-08,2028-02-08
154,Xi Device 154,Energy efficient device,2026-02-13,2028-02-13
155,Omicron Gear 155,Heavy-duty gear,2026-02-18,2028-02-18
156,Pi Component 156,Component for electronics,2026-02-23,2028-02-23
157,Rho Module 157,Module for automation,2026-02-28,2028-02-28
158,Sigma Part 158,Precision part,2026-03-05,2028-03-05
159,Tau Accessory 159,Accessory for gadgets,2026-03-10,2028-03-10
160,Upsilon Unit 160,Unit for assembly lines,2026-03-15,2028-03-15
161,Alpha Widget 161,High quality widget,2026-03-20,2028-03-20
162,Beta Gadget 162,Advanced gadget for daily use,2026-03-25,2028-03-25
163,Gamma Tool 163,Durable tool for professionals,2026-03-30,2028-03-30
164,Delta Device 164,Compact and efficient device,2026-04-04,2028-04-04
165,Epsilon Gear 165,Precision engineered gear,2026-04-09,2028-04-09
166,Zeta Component 166,Essential component for machines,2026-04-14,2028-04-14
167,Eta Module 167,Modular design for flexibility,2026-04-19,2028-04-19
168,Theta Part 168,High performance part,2026-04-24,2028-04-24
169,Iota Accessory 169,Accessory for multiple uses,2026-04-29,2028-04-29
170,Kappa Unit 170,Unit for industrial applications,2026-05-04,2028-05-04
171,Lambda Widget 171,Next-gen widget,2026-05-09,2028-05-09
172,Mu Gadget 172,Smart gadget for home,2026-05-14,2028-05-14
173,Nu Tool 173,Ergonomic tool,2026-05-19,2028-05-19
174,Xi Device 174,Energy efficient device,2026-05-24,2028-05-24
175,Omicron Gear 175,Heavy-duty gear,2026-05-29,2028-05-29
176,Pi Component 176,Component for electronics,2026-06-03,2028-06-03
177,Rho Module 177,Module for automation,2026-06-08,2028-06-08
178,Sigma Part 178,Precision part,2026-06-13,2028-06-13
179,Tau Accessory 179,Accessory for gadgets,2026-06-18,2028-06-18
180,Upsilon Unit 180,Unit for assembly lines,2026-06-23,2028-06-23
181,Alpha Widget 181,High quality widget,2026-06-28,2028-06-28
182,Beta Gadget 182,Advanced gadget for daily use,2026-07-03,2028-07-03
183,Gamma Tool 183,Durable tool for professionals,2026-07-08,2028-07-08
184,Delta Device 184,Compact and efficient device,2026-07-13,2028-07-13
185,Epsilon Gear 185,Precision engineered gear,2026-07-18,2028-07-18
186,Zeta Component 186,Essential component for machines,2026-07-23,2028-07-23
187,Eta Module 187,Modular design for flexibility,2026-07-28,2028-07-28
188,Theta Part 188,High performance part,2026-08-02,2028-08-02
189,Iota Accessory 189,Accessory for multiple uses,2026-08-07,2028-08-07
190,Kappa Unit 190,Unit for industrial applications,2026-08-12,2028-08-12
191,Lambda Widget 191,Next-gen widget,2026-08-17,2028-08-17
192,Mu Gadget 192,Smart gadget for home,2026-08-22,2028-08-22
193,Nu Tool 193,Ergonomic tool,2026-08-27,2028-08-27
194,Xi Device 194,Energy efficient device,2026-09-01,2028-09-01
195,Omicron Gear 195,Heavy-duty gear,2026-09-06,2028-09-06
196,Pi Component 196,Component for electronics,2026-09-11,2028-09-11
197,Rho Module 197,Module for automation,2026-09-16,2028-09-16
198,Sigma Part 198,Precision part,2026-09-21,2028-09-21
199,Tau Accessory 199,Accessory for gadgets,2026-09-26,2028-09-26
200,Upsilon Unit 200,Unit for assembly lines,2026-10-01,2028-10-01
201,Alpha Widget 201,High quality widget,2026-10-06,2028-10-06
202,Beta Gadget 202,Advanced gadget for daily use,2026-10-11,2028-10-11
203,Gamma Tool 203,Durable tool for professionals,2026-10-16,2028-10-16
204,Delta Device 204,Compact and efficient device,2026-10-21,2028-10-21
205,Epsilon Gear 205,Precision engineered gear,2026-10-26,2028-10-26
206,Zeta Component 206,Essential component for machines,2026-10-31,2028-10-31
207,Eta Module 207,Modular design for flexibility,2026-11-05,2028-11-05
208,Theta Part 208,High performance part,2026-11-10,2028-11-10
209,Iota Accessory 209,Accessory for multiple uses,2026-11-15,2028-11-15
210,Kappa Unit 210,Unit for industrial applications,2026-11-20,2028-11-20
211,Lambda Widget 211,Next-gen widget,2026-11-25,2028-11-25
212,Mu Gadget 212,Smart gadget for home,2026-11-30,2028-11-30
213,Nu Tool 213,Ergonomic tool,2026-12-05,2028-12-05
214,Xi Device 214,Energy efficient device,2026-12-10,2028-12-10
215,Omicron Gear 215,Heavy-duty gear,2026-12-15,2028-12-15
216,Pi Component 216,Component for electronics,2026-12-20,2028-12-20
217,Rho Module 217,Module for automation,2026-12-25,2028-12-25
218,Sigma Part 218,Precision part,2026-12-30,2028-12-30
219,Tau Accessory 219,Accessory for gadgets,2027-01-04,2029-01-04
220,Upsilon Unit 220,Unit for assembly lines,2027-01-09,2029-01-09
221,Alpha Widget 221,High quality widget,2027-01-14,2029-01-14
222,Beta Gadget 222,Advanced gadget for daily use,2027-01-19,2029-01-19
223,Gamma Tool 223,Durable tool for professionals,2027-01-24,2029-01-24
224,Delta Device 224,Compact and efficient device,2027-01-29,2029-01-29
225,Epsilon Gear 225,Precision engineered gear,2027-02-03,2029-02-03
226,Zeta Component 226,Essential component for machines,2027-02-08,2029-02-08
227,Eta Module 227,Modular design for flexibility,2027-02-13,2029-02-13
228,Theta Part 228,High performance part,2027-02-18,2029-02-18
229,Iota Accessory 229,Accessory for multiple uses,2027-02-23,2029-02-23
230,Kappa Unit 230,Unit for industrial applications,2027-02-28,2029-02-28
231,Lambda Widget 231,Next-gen widget,2027-03-05,2029-03-05
232,Mu Gadget 232,Smart gadget for home,2027-03-10,2029-03-10
233,Nu Tool 233,Ergonomic tool,2027-03-15,2029-03-15
234,Xi Device 234,Energy efficient device,2027-03-20,2029-03-20
235,Omicron Gear 235,Heavy-duty gear,2027-03-25,2029-03-25
236,Pi Component 236,Component for electronics,2027-03-30,2029-03-30
237,Rho Module 237,Module for automation,2027-04-04,2029-04-04
238,Sigma Part 238,Precision part,2027-04-09,2029-04-09
239,Tau Accessory 239,Accessory for gadgets,2027-04-14,2029-04-14
240,Upsilon Unit 240,Unit for assembly lines,2027-04-19,2029-04-19
241,Alpha Widget 241,High quality widget,2027-04-24,2029-04-24
242,Beta Gadget 242,Advanced gadget for daily use,2027-04-29,2029-04-29
243,Gamma Tool 243,Durable tool for professionals,2027-05-04,2029-05-04
244,Delta Device 244,Compact and efficient device,2027-05-09,2029-05-09
245,Epsilon Gear 245,Precision engineered gear,2027-05-14,2029-05-14
246,Zeta Component 246,Essential component for machines,2027-05-19,2029-05-19
247,Eta Module 247,Modular design for flexibility,2027-05-24,2029-05-24
248,Theta Part 248,High performance part,2027-05-29,2029-05-29
249,Iota Accessory 249,Accessory for multiple uses,2027-06-03,2029-06-03
250,Kappa Unit 250,Unit for industrial applications,2027-06-08,2029-06-08
251,Lambda Widget 251,Next-gen widget,2027-06-13,2029-06-13
252,Mu Gadget 252,Smart gadget for home,2027-06-18,2029-06-18
253,Nu Tool 253,Ergonomic tool,2027-06-23,2029-06-23
254,Xi Device 254,Energy efficient device,2027-06-28,2029-06-28
255,Omicron Gear 255,Heavy-duty gear,2027-07-03,2029-07-03
256,Pi Component 256,Component for electronics,2027-07-08,2029-07-08
257,Rho Module 257,Module for automation,2027-07-13,2029-07-13
258,Sigma Part 258,Precision part,2027-07-18,2029-07-18
259,Tau Accessory 259,Accessory for gadgets,2027-07-23,2029-07-23
260,Upsilon Unit 260,Unit for assembly lines,2027-07-28,2029-07-28
261,Alpha Widget 261,High quality widget,2027-08-02,2029-08-02
262,Beta Gadget 262,Advanced gadget for daily use,2027-08-07,2029-08-07
263,Gamma Tool 263,Durable tool for professionals,2027-08-12,2029-08-12
264,Delta Device 264,Compact and efficient device,2027-08-17,2029-08-17
265,Epsilon Gear 265,Precision engineered gear,2027-08-22,2029-08-22
266,Zeta Component 266,Essential component for machines,2027-08-27,2029-08-27
267,Eta Module 267,Modular design for flexibility,2027-09-01,2029-09-01
268,Theta Part 268,High performance part,2027-09-06,2029-09-06
269,Iota Accessory 269,Accessory for multiple uses,2027-09-11,2029-09-11
270,Kappa Unit 270,Unit for industrial applications,2027-09-16,2029-09-16
271,Lambda Widget 271,Next-gen widget,2027-09-21,2029-09-21
272,Mu Gadget 272,Smart gadget for home,2027-09-26,2029-09-26
273,Nu Tool 273,Ergonomic tool,2027-10-01,2029-10-01
274,Xi Device 274,Energy efficient device,2027-10-06,2029-10-06
275,Omicron Gear 275,Heavy-duty gear,2027-10-11,2029-10-11
276,Pi Component 276,Component for electronics,2027-10-16,2029-10-16
277,Rho Module 277,Module for automation,2027-10-21,2029-10-21
278,Sigma Part 278,Precision part,2027-10-26,2029-10-26
279,Tau Accessory 279,Accessory for gadgets,2027-10-31,2029-10-31
280,Upsilon Unit 280,Unit for assembly lines,2027-11-05,2029-11-05
281,Alpha Widget 281,High quality widget,2027-11-10,2029-11-10
282,Beta Gadget 282,Advanced gadget for daily use,2027-11-15,2029-11-15
283,Gamma Tool 283,Durable tool for professionals,2027-11-20,2029-11-20
284,Delta Device 284,Compact and efficient device,2027-11-25,2029-11-25
285,Epsilon Gear 285,Precision engineered gear,2027-11-30,2029-11-30
286,Zeta Component 286,Essential component for machines,2027-12-05,2029-12-05
287,Eta Module 287,Modular design for flexibility,2027-12-10,2029-12-10
288,Theta Part 288,High performance part,2027-12-15,2029-12-15
289,Iota Accessory 289,Accessory for multiple uses,2027-12-20,2029-12-20
290,Kappa Unit 290,Unit for industrial applications,2027-12-25,2029-12-25
291,Lambda Widget 291,Next-gen widget,2027-12-30,2029-12-30
292,Mu Gadget 292,Smart gadget for home,2028-01-04,2030-01-04
293,Nu Tool 293,Ergonomic tool,2028-01-09,2030-01-09
294,Xi Device 294,Energy efficient device,2028-01-14,2030-01-14
295,Omicron Gear 295,Heavy-duty gear,2028-01-19,2030-01-19
296,Pi Component 296,Component for electronics,2028-01-24,2030-01-24
297,Rho Module 297,Module for automation,2028-01-29,2030-01-29
298,Sigma Part 298,Precision part,2028-02-03,2030-02-03
299,Tau Accessory 299,Accessory for gadgets,2028-02-08,2030-02-08
300,Upsilon Unit 300,Unit for assembly lines,2028-02-13,2030-02-13
301,Alpha Widget 301,High quality widget,2028-02-18,2030-02-18
302,Beta Gadget 302,Advanced gadget for daily use,2028-02-23,2030-02-23
303,Gamma Tool 303,Durable tool for professionals,2028-02-28,2030-02-28
304,Delta Device 304,Compact and efficient device,2028-03-04,2030-03-04
305,Epsilon Gear 305,Precision engineered gear,2028-03-09,2030-03-09
306,Zeta Component 306,Essential component for machines,2028-03-14,2030-03-14
307,Eta Module 307,Modular design for flexibility,2028-03-19,2030-03-19
308,Theta Part 308,High performance part,2028-03-24,2030-03-24
309,Iota Accessory 309,Accessory for multiple uses,2028-03-29,2030-03-29
310,Kappa Unit 310,Unit for industrial applications,2028-04-03,2030-04-03
311,Lambda Widget 311,Next-gen widget,2028-04-08,2030-04-08
312,Mu Gadget 312,Smart gadget for home,2028-04-13,2030-04-13
313,Nu Tool 313,Ergonomic tool,2028-04-18,2030-04-18
314,Xi Device 314,Energy efficient device,2028-04-23,2030-04-23
315,Omicron Gear 315,Heavy-duty gear,2028-04-28,2030-04-28
316,Pi Component 316,Component for electronics,2028-05-03,2030-05-03
317,Rho Module 317,Module for automation,2028-05-08,2030-05-08
318,Sigma Part 318,Precision part,2028-05-13,2030-05-13
319,Tau Accessory 319,Accessory for gadgets,2028-05-18,2030-05-18
320,Upsilon Unit 320,Unit for assembly lines,2028-05-23,2030-05-23
321,Alpha Widget 321,High quality widget,2028-05-28,2030-05-28
322,Beta Gadget 322,Advanced gadget for daily use,2028-06-02,2030-06-02
323,Gamma Tool 323,Durable tool for professionals,2028-06-07,2030-06-07
324,Delta Device 324,Compact and efficient device,2028-06-12,2030-06-12
325,Epsilon Gear 325,Precision engineered gear,2028-06-17,2030-06-17
326,Zeta Component 326,Essential component for machines,2028-06-22,2030-06-22
327,Eta Module 327,Modular design for flexibility,2028-06-27,2030-06-27
328,Theta Part 328,High performance part,2028-07-02,2030-07-02
329,Iota Accessory 329,Accessory for multiple uses,2028-07-07,2030-07-07
330,Kappa Unit 330,Unit for industrial applications,2028-07-12,2030-07-12
331,Lambda Widget 331,Next-gen widget,2028-07-17,2030-07-17
332,Mu Gadget 332,Smart gadget for home,2028-07-22,2030-07-22
333,Nu Tool 333,Ergonomic tool,2028-07-27,2030-07-27
334,Xi Device 334,Energy efficient device,2028-08-01,2030-08-01
335,Omicron Gear 335,Heavy-duty gear,2028-08-06,2030-08-06
336,Pi Component 336,Component for electronics,2028-08-11,2030-08-11
337,Rho Module 337,Module for automation,2028-08-16,2030-08-16
338,Sigma Part 338,Precision part,2028-08-21,2030-08-21
339,Tau Accessory 339,Accessory for gadgets,2028-08-26,2030-08-26
340,Upsilon Unit 340,Unit for assembly lines,2028-08-31,2030-08-31
341,Alpha Widget 341,High quality widget,2028-09-05,2030-09-05
342,Beta Gadget 342,Advanced gadget for daily use,2028-09-10,2030-09-10
343,Gamma Tool 343,Durable tool for professionals,2028-09-15,2030-09-15
344,Delta Device 344,Compact and efficient device,2028-09-20,2030-09-20
345,Epsilon Gear 345,Precision engineered gear,2028-09-25,2030-09-25
346,Zeta Component 346,Essential component for machines,2028-09-30,2030-09-30
347,Eta Module 347,Modular design for flexibility,2028-10-05,2030-10-05
348,Theta Part 348,High performance part,2028-10-10,2030-10-10
349,Iota Accessory 349,Accessory for multiple uses,2028-10-15,2030-10-15
350,Kappa Unit 350,Unit for industrial applications,2028-10-20,2030-10-20
351,Lambda Widget 351,Next-gen widget,2028-10-25,2030-10-25
352,Mu Gadget 352,Smart gadget for home,2028-10-30,2030-10-30
353,Nu Tool 353,Ergonomic tool,2028-11-04,2030-11-04
354,Xi Device 354,Energy efficient device,2028-11-09,2030-11-09
355,Omicron Gear 355,Heavy-duty gear,2028-11-14,2030-11-14
356,Pi Component 356,Component for electronics,2028-11-19,2030-11-19
357,Rho Module 357,Module for automation,2028-11-24,2030-11-24
358,Sigma Part 358,Precision part,2028-11-29,2030-11-29
359,Tau Accessory 359,Accessory for gadgets,2028-12-04,2030-12-04
360,Upsilon Unit 360,Unit for assembly lines,2028-12-09,2030-12-09
361,Alpha Widget 361,High quality widget,2028-12-14,2030-12-14
362,Beta Gadget 362,Advanced gadget for daily use,2028-12-19,2030-12-19
363,Gamma Tool 363,Durable tool for professionals,2028-12-24,2030-12-24
364,Delta Device 364,Compact and efficient device,2028-12-29,2030-12-29
365,Epsilon Gear 365,Precision engineered gear,2029-01-03,2031-01-03
366,Zeta Component 366,Essential component for machines,2029-01-08,2031-01-08
367,Eta Module 367,Modular design for flexibility,2029-01-13,2031-01-13
368,Theta Part 368,High performance part,2029-01-18,2031-01-18
369,Iota Accessory 369,Accessory for multiple uses,2029-01-23,2031-01-23
370,Kappa Unit 370,Unit for industrial applications,2029-01-28,2031-01-28
371,Lambda Widget 371,Next-gen widget,2029-02-02,2031-02-02
372,Mu Gadget 372,Smart gadget for home,2029-02-07,2031-02-07
373,Nu Tool 373,Ergonomic tool,2029-02-12,2031-02-12
374,Xi Device 374,Energy efficient device,2029-02-17,2031-02-17
375,Omicron Gear 375,Heavy-duty gear,2029-02-22,2031-02-22
376,Pi Component 376,Component for electronics,2029-02-27,2031-02-27
377,Rho Module 377,Module for automation,2029-03-04,2031-03-04
378,Sigma Part 378,Precision part,2029-03-09,2031-03-09
379,Tau Accessory 379,Accessory for gadgets,2029-03-14,2031-03-14
380,Upsilon Unit 380,Unit for assembly lines,2029-03-19,2031-03-19
381,Alpha Widget 381,High quality widget,2029-03-24,2031-03-24
382,Beta Gadget 382,Advanced gadget for daily use,2029-03-29,2031-03-29
383,Gamma Tool 383,Durable tool for professionals,2029-04-03,2031-04-03
384,Delta Device 384,Compact and efficient device,2029-04-08,2031-04-08
385,Epsilon Gear 385,Precision engineered gear,2029-04-13,2031-04-13
386,Zeta Component 386,Essential component for machines,2029-04-18,2031-04-18
387,Eta Module 387,Modular design for flexibility,2029-04-23,2031-04-23
388,Theta Part 388,High performance part,2029-04-28,2031-04-28
389,Iota Accessory 389,Accessory for multiple uses,2029-05-03,2031-05-03
390,Kappa Unit 390,Unit for industrial applications,2029-05-08,2031-05-08
391,Lambda Widget 391,Next-gen widget,2029-05-13,2031-05-13
392,Mu Gadget 392,Smart gadget for home,2029-05-18,2031-05-18
393,Nu Tool 393,Ergonomic tool,2029-05-23,2031-05-23
394,Xi Device 394,Energy efficient device,2029-05-28,2031-05-28
395,Omicron Gear 395,Heavy-duty gear,2029-06-02,2031-06-02
396,Pi Component 396,Component for electronics,2029-06-07,2031-06-07
397,Rho Module 397,Module for automation,2029-06-12,2031-06-12
398,Sigma Part 398,Precision part,2029-06-17,2031-06-17
399,Tau Accessory 399,Accessory for gadgets,2029-06-22,2031-06-22
400,Upsilon Unit 400,Unit for assembly lines,2029-06-27,2031-06-27
401,Alpha Widget 401,High quality widget,2029-07-02,2031-07-02
402,Beta Gadget 402,Advanced gadget for daily use,2029-07-07,2031-07-07
403,Gamma Tool 403,Durable tool for professionals,2029-07-12,2031-07-12
404,Delta Device 404,Compact and efficient device,2029-07-17,2031-07-17
405,Epsilon Gear 405,Precision engineered gear,2029-07-22,2031-07-22
406,Zeta Component 406,Essential component for machines,2029-07-27,2031-07-27
407,Eta Module 407,Modular design for flexibility,2029-08-01,2031-08-01
408,Theta Part 408,High performance part,2029-08-06,2031-08-06
409,Iota Accessory 409,Accessory for multiple uses,2029-08-11,2031-08-11
410,Kappa Unit 410,Unit for industrial applications,2029-08-16,2031-08-16
411,Lambda Widget 411,Next-gen widget,2029-08-21,2031-08-21
